DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2020,51
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2021,52
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2010,2229
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2011,2144
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2012,1992
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2013,1895
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2014,2022
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2015,1763
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2016,1742
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2017,1777
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2018,1666
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2019,1515
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2020,1331
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2021,1389
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2006,52
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2007,21
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2008,27
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2009,26
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2010,23
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2011,14
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2012,21
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2013,12
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2014,15
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2015,13
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2016,18
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2017,17
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2018,15
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2019,14
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2020,12
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FIN,2021,25
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2006,431
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2007,413
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2008,453
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2009,171
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2010,155
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2011,154
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2012,136
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2013,146
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2014,177
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2015,150
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2016,146
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2017,151
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2018,119
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2019,123
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2020,104
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,FR,2021,138
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2010,45
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2011,39
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2012,42
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2013,33
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2014,33
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2015,27
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2016,23
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2017,33
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2018,25
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2019,28
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2020,22
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HR,2021,22
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2006,409
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2007,162
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2008,155
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2009,180
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2010,142
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2011,147
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2012,152
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2013,186
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2014,190
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2015,156
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2016,162
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2017,160
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2018,162
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2019,142
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2020,98
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,HUN,2021,102
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2006,2
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2007,5
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2008,5
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2009,5
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2010,4
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2011,2
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2012,0
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2013,3
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2014,3
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2015,1
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2016,0
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2017,4
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2018,6
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2019,2
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2020,0
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,IE,2021,1
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2006,152
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2007,130
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2008,116
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2009,118
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2010,100
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2011,106
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2012,106
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2013,98
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2014,109
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2015,97
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2016,99
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2017,104
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2018,109
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2019,75
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2020,89
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ITA,2021,89
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2006,66
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2007,83
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2008,68
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2009,55
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2010,44
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2011,33
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2012,26
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2013,24
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2014,16
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2015,13
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2016,20
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2017,27
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2018,15
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2019,9
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2020,9
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LT,2021,11
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2009,7
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2010,3
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2011,1
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2012,0
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2013,3
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2014,0
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2015,0
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2016,2
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2017,1
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2018,2
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2019,0
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2020,1
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LU,2021,4
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2006,63
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2007,51
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2008,61
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2009,30
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2010,41
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2011,35
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2012,25
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2013,26
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2014,22
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2015,25
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2016,18
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2017,24
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2018,20
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2019,19
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2020,9
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,LV,2021,11
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ME,2013,49
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ME,2014,13
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ME,2015,8
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ME,2016,43
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,MK,2009,106
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,MK,2010,137
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,MK,2011,104
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,MK,2012,115
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,MK,2013,59
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,MK,2014,90
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,MK,2015,115
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,MK,2016,88
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,MK,2017,45
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,MK,2018,97
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,NL,2006,28
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,NL,2007,33
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,NL,2008,26
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,NL,2009,22
